PERSON_ID,ADDRESS_ID,PHONE_ID,EMAIL_ADDRESS_ID,ACCOUNT_NUMBER,FIRST_NAME,MIDDLE_NAME,LAST_NAME,GENDER,DATE_OF_BIRTH,PLACE_OF_BIRTH,RESIDENCE_COUNTRY_CODE,CITIZENSHIP_COUNTRY_CODE,PARTY_ID,PARTY_ADDRESS_ID,ROW_CREATED_TIMESTAMP,ROW_UPDATED_TIMESTAMP
92340542405,73204604971,92083802997,40070602415,3.56208E+15,Shea,Nancy,Rumbellow,F,12/29/1999,Udmurt republic,7,7,14095006082,54066402064,11/1/2019 13:30,8/26/2002 23:52
63359629108,26300503268,77068408930,2049305570,3.562E+15,Odetta,Ema,Korneichuk,F,7/23/1997,Lipetsk region,7,7,52011103024,53049406327,1/14/2011 14:37,9/29/2005 16:15
74311280002,34402704350,16074806531,88030001837,3.58711E+15,Myrlene,Jacenta,Adnet,F,7/22/1972,Altai region,7,7,38809534,47005201322,10/5/2013 4:05,8/23/2018 3:42
15726014805,30908007950,2070103086,8049405800,5.89355E+17,Burg,Sherlock,Chevolleau,M,10/20/1989,The Republic of Dagestan,7,7,15509629,75052101837,1/18/2004 3:03,6/30/2005 2:21
71904734008,11409309408,98015807886,32093703439,3.53748E+15,Talyah,Hana,Clemes,F,3/10/1992,Yaroslavl region,7,7,99053306306,67007503632,11/29/2017 2:28,10/3/2004 7:36
21688492500,37607402714,24020306299,70017901994,2.01657E+14,Maddy,Travers,Decourt,M,4/28/1976,Saratov region,7,7,45052607803,65026302338,1/12/2011 21:49,8/6/2014 17:07
71818525606,89907307319,55091404736,86044906247,5.10876E+15,Kane,Luther,Bangham,M,9/28/1968,Rostov region,7,7,61042408032,53081600853,6/10/2005 9:49,9/1/2017 23:57
6841686707,81709406387,3093402815,20072505544,4.90381E+17,Price,Dar,Fenimore,M,6/8/1996,Republic of Kalmykia,7,7,21046001838,53047701805,1/4/2003 22:17,6/26/2016 16:01
49795809407,78306007615,49048908074,28002705557,5.60226E+17,Delcina,Bessie,Brockington,F,9/4/1996,Tver region,7,7,30064401399,91097406964,4/26/2005 15:09,9/16/2010 16:53
84991987008,23606905240,35067209676,12032501896,3.53188E+15,Stafani,Oralle,Bark,F,9/11/1957,The Republic of Buryatia,7,7,54009100680,99069103831,10/2/2000 0:14,11/12/2017 14:54
27948756701,58901706441,68027902185,23036103245,3.57203E+15,Etti,Idell,Bruck,F,6/21/1961,Republic of Adygea,7,7,61044605446,65080909290,6/5/2012 18:42,10/22/2018 13:19
92444066607,78509705931,5065703244,25028101111,3.57775E+15,Jodee,Elsinore,Risbrough,F,3/12/1987,Penza region,7,7,40079102666,35071102858,12/20/2001 13:51,8/19/2014 3:11
53931163104,24209502889,46061108128,85019200529,3.57762E+15,Muhammad,Isaak,Starie,M,3/19/1958,The Republic of Khakassia,7,7,80004702036,67026104775,9/20/2009 19:02,5/2/2008 3:31
68885191309,25908101059,89096305969,15052608296,3.54358E+15,Devland,Kinsley,Askell,M,2/18/1959,Ivanovo region,7,7,72085108619,3019701860,12/9/2002 11:53,5/1/2019 12:26
81163076202,83607202293,51078507917,76023808046,3.57071E+15,Goddart,Bertrand,Mellon,M,1/5/1998,Jewish Autonomous Region,7,7,21037102834,58029904106,3/2/2005 18:39,12/31/2007 2:07
26415409803,21109101156,8085003304,79007102003,2.01431E+14,Rodie,Nannette,Scalia,F,7/9/1956,Krasnoyarsk region,7,7,13026208822,73006401934,12/29/2016 20:51,4/3/2006 23:58
57271536809,14402702641,51085309101,64060504672,5.12469E+15,Allistir,Rowan,Shipperbottom,M,9/30/1974,Ivanovo region,7,7,14030501106,17027809552,8/29/2012 20:29,6/5/2015 4:41
49441105002,78706503942,52007404731,45038108532,5.60225E+17,Melisent,Nariko,Bever,F,7/25/1972,Perm,7,7,89050009666,18088106044,1/14/2010 18:44,2/11/2014 19:11
7248654406,21206201229,78006307120,64038506672,3.55292E+15,Madlin,Kimberlyn,Sweedland,F,6/15/1961,Kamchatka Krai,7,7,9076307358,70084508551,2/17/2005 0:13,2/28/2017 10:52
87637515707,19202705185,55019703894,59076105957,3.58659E+15,Charlotta,Catina,Weatherall,F,12/23/1977,Kaluga region,7,7,30091403477,60006104389,5/24/2013 23:26,10/3/2005 7:54
87929644806,37102904146,9000205643,81032901110,4.90324E+17,Lena,Elinor,Gruszka,F,10/28/1992,Primorsky Krai,7,7,74053603007,31009908316,7/9/2019 13:37,12/24/2011 5:21
93267719907,54604208926,48030706900,86608941,3.55478E+15,Denver,Ram,Jearum,M,5/30/1991,Republic of Tatarstan,7,7,64042808741,50096402434,10/27/2015 19:02,6/2/2007 22:00
78854999208,75805102240,42022509150,13034408452,3.5779E+15,Leopold,Dur,Coddington,M,5/19/1961,Belgorod region,7,7,97050502955,89072407064,9/28/2016 22:18,10/12/2016 6:20
36945605103,83407000583,7068301407,8053502904,5.02021E+18,Ewen,Grove,Parrish,M,6/13/1967,Altai Republic,7,7,65010502528,28013405033,4/8/2006 13:12,7/19/2003 21:43
64256961608,56905608762,47093908993,31049806193,3.56575E+15,Austen,Obadias,Dunsmore,M,2/27/1966,Russia,7,7,95055609969,91078802962,6/16/2002 17:10,7/22/2003 2:47
20310388206,64505509484,83004008668,84084202655,3.57301E+15,Emlynn,Lianne,Howgate,F,3/5/1996,Sverdlovsk region,7,7,91040902468,48060709561,10/23/2016 12:28,7/21/2002 7:39
25038816808,23502402934,11042206058,12008100893,5.60225E+18,Bernarr,Wit,Isakovic,M,5/4/1984,Volgograd region,7,7,68047608515,15055100287,3/14/2000 5:23,7/31/2008 1:29
63398261005,50904605322,49004508687,31030704410,2.01745E+14,Abbie,Ravid,Marjot,M,1/28/1955,Khabarovsk region,7,7,23074704518,84049205382,7/28/2015 13:28,4/24/2011 4:31
29520975805,76906102029,15035503405,77079900190,5.60222E+15,Francisco,Sergent,Robson,M,6/1/1991,Kaluga region,7,7,29030603695,74036409278,1/23/2012 23:34,3/26/2007 14:57
12855953207,32106707736,86010008505,17087607466,5.54815E+15,Isa,Ardene,Castanares,F,3/19/1955,Tver region,7,7,75092004614,54080702149,1/9/2018 13:58,4/22/2001 13:45
