BUSINESS_ID,ACCOUNT_NUMBER,PERSON_ID,BUSINESS_ROLE_TYPE,SOURCE_USER_ID,POSITION_FLAG,ROW_CREATED_TIMESTAMP,ROW_UPDATED_TIMESTAMP
46046436905,6.71E+16,92340542405,Field Work,10052000519,Marketing Manager,11/1/2019 13:30,7/2/2017 21:00
13036006608,6.76E+18,63359629108,Field Work,97043408885,Administrative Assistant,1/14/2011 14:37,12/12/2020 13:37
5597471502,5.60E+15,74311280002,Field Work,13021206464,Finance Manager,10/5/2013 4:05,4/27/2019 10:19
40151086908,6.77E+18,15726014805,Security,84051101759,CTO,1/18/2004 3:03,1/6/2019 1:13
24794693502,6.33E+15,71904734008,Security,17049607512,CEO,11/29/2017 2:28,9/20/2016 22:54
7897532109,3.57E+15,21688492500,Production,6087303962,Administrative Assistant,1/12/2011 21:49,10/6/2019 14:04
44104336001,3.56E+15,71818525606,Operations,79054309178,Executive Assistant,6/10/2005 9:49,6/18/2019 14:02
36851510209,5.60E+15,6841686707,Production,87068006656,Executive Assistant,1/4/2003 22:17,7/3/2016 21:13
21135322407,3.55E+15,49795809407,Manager,11072507903,Sales Executive,4/26/2005 15:09,3/28/2019 10:04
85295041708,6.38E+15,84991987008,Operations,57076307666,Vice-President,10/2/2000 0:14,11/30/2016 21:17
8918206908,3.56E+15,27948756701,Security,27036002531,CEO,6/5/2012 18:42,9/19/2020 21:43
22205760109,3.59E+15,92444066607,Security,47059108374,Administrative Assistant,12/20/2001 13:51,1/13/2021 3:50
54195282704,3.55E+15,53931163104,Operations,23087608960,Administrative Assistant,9/20/2009 19:02,2/12/2017 13:56
62861058901,5.25E+15,68885191309,Executive,66079201071,Senior Manager,12/9/2002 11:53,12/23/2017 8:42
37180473507,3.56E+15,81163076202,Director,94071709323,CEO,3/2/2005 18:39,7/12/2020 3:57
48372323808,3.38E+14,26415409803,Director,76009308304,Senior Manager,12/29/2016 20:51,6/18/2016 14:02
5481999006,3.58E+15,57271536809,Operations,73055103346,Senior Manager,8/29/2012 20:29,3/8/2017 20:33
15354773108,5.60E+15,49441105002,Manager,45038502686,President,1/14/2010 18:44,8/17/2019 9:38
87889478900,3.56E+15,7248654406,Production,88061303898,CTO,2/17/2005 0:13,12/9/2020 10:18
33066589709,5.02E+15,87637515707,Field Work,32084209333,Product Manager,5/24/2013 23:26,5/31/2019 19:54
91052216303,5.42E+15,87929644806,Manager,94014604327,Vice-President,7/9/2019 13:37,11/5/2016 16:14
94960262300,3.57E+15,93267719907,Director,34090900899,Human Resource Manager,10/27/2015 19:02,4/1/2020 0:27
9034250500,6.33E+15,78854999208,Director,93054205104,Accountant,9/28/2016 22:18,12/6/2018 14:05
76090602509,5.41E+15,36945605103,Production,82087100600,Sales Executive,4/8/2006 13:12,3/2/2016 13:44
69590896700,3.59E+15,64256961608,Executive,51055805328,Vice-President,6/16/2002 17:10,7/3/2016 17:30
8822027203,5.89E+15,20310388206,Production,61041100691,Executive Assistant,10/23/2016 12:28,2/3/2020 7:12
85881239106,5.60E+15,25038816808,Operations,81083702987,Sales Executive,3/14/2000 5:23,5/31/2016 2:43
11526618303,5.60E+18,63398261005,Director,26042408686,Accountant,7/28/2015 13:28,4/26/2016 0:21
30143261305,3.00E+13,29520975805,Director,56008007213,President,1/23/2012 23:34,12/15/2019 7:48
63105974000,5.60E+15,12855953207,Operations,90091205346,Human Resource Manager,1/9/2018 13:58,5/29/2017 10:15
9446441407,6.33E+15,96891577404,Production,17060306060,Senior Manager,3/23/2004 19:58,3/1/2016 12:54
33342779009,3.53E+15,53929672201,Field Work,44010503895,Marketing Manager,10/2/2013 2:28,4/11/2017 2:37
