PERSON_ID,ACCOUNT_NUMBER,DOCUMENT_ID,ROW_CREATED_TIMESTAMP,ROW_UPDATED_TIMESTAMP
92340542405,3.56E+15,74063008234,11/1/2019 13:30,2/7/2020 13:34
63359629108,3.56E+15,56039100421,1/14/2011 14:37,2/24/2020 4:32
74311280002,3.59E+15,96024503694,10/5/2013 4:05,1/23/2016 20:32
15726014805,5.89E+17,23051405424,1/18/2004 3:03,12/30/2016 18:57
71904734008,3.54E+15,47056401787,11/29/2017 2:28,9/7/2016 10:42
21688492500,2.02E+14,34063506765,1/12/2011 21:49,1/23/2020 16:44
71818525606,5.11E+15,15097004297,6/10/2005 9:49,10/9/2015 5:28
6841686707,4.90E+17,28032006836,1/4/2003 22:17,4/6/2015 20:25
49795809407,5.60E+17,86049509558,4/26/2005 15:09,5/29/2016 6:28
84991987008,3.53E+15,13024203300,10/2/2000 0:14,3/4/2018 0:01
27948756701,3.57E+15,92011801073,6/5/2012 18:42,1/21/2020 9:48
92444066607,3.58E+15,46096903106,12/20/2001 13:51,8/9/2019 18:13
53931163104,3.58E+15,23098706772,9/20/2009 19:02,7/10/2019 7:15
68885191309,3.54E+15,17078800346,12/9/2002 11:53,9/6/2018 5:45
81163076202,3.57E+15,72087708439,3/2/2005 18:39,12/18/2015 19:51
26415409803,2.01E+14,36039509512,12/29/2016 20:51,6/4/2018 1:35
57271536809,5.12E+15,43062009044,8/29/2012 20:29,11/11/2020 23:08
49441105002,5.60E+17,56073200235,1/14/2010 18:44,10/21/2020 2:53
7248654406,3.55E+15,11065600308,2/17/2005 0:13,6/12/2019 17:35
87637515707,3.59E+15,94024708687,5/24/2013 23:26,10/12/2020 2:07
87929644806,4.90E+17,69005008905,7/9/2019 13:37,4/11/2019 19:56
93267719907,3.55E+15,45054709073,10/27/2015 19:02,4/4/2016 20:55
78854999208,3.58E+15,97092403007,9/28/2016 22:18,10/25/2015 15:33
36945605103,5.02E+18,82081400226,4/8/2006 13:12,9/7/2015 6:52
64256961608,3.57E+15,44038806416,6/16/2002 17:10,7/20/2016 6:46
20310388206,3.57E+15,4055501720,10/23/2016 12:28,9/4/2017 23:04
25038816808,5.60E+18,72021406114,3/14/2000 5:23,10/4/2019 14:00
63398261005,2.02E+14,56070607654,7/28/2015 13:28,7/26/2015 13:28
29520975805,5.60E+15,88025902599,1/23/2012 23:34,4/1/2019 22:08
12855953207,5.55E+15,28076209857,1/9/2018 13:58,1/24/2016 11:09
96891577404,3.56E+15,53011704690,3/23/2004 19:58,8/31/2018 7:46
53929672201,5.60E+15,36075600644,10/2/2013 2:28,11/15/2016 19:27
17631265807,4.81E+15,83039808596,3/16/2002 9:45,10/11/2020 12:30
80235985809,3.55E+15,73071201473,6/16/2003 4:48,4/4/2017 10:42
12051526600,6.30E+15,86078306434,1/3/2005 23:44,8/21/2015 0:51
59508402302,3.53E+15,1061408922,3/9/2008 12:14,5/28/2020 7:49
96610114403,4.92E+15,57089403162,10/11/2013 9:28,11/9/2015 4:52
62795727006,6.76E+15,9000306215,12/3/2018 7:18,5/10/2017 19:18
26775316508,5.00E+15,61032601326,10/26/2011 10:29,11/7/2015 8:54
95572220000,3.56E+15,31087407190,10/20/2001 20:43,8/31/2017 5:52
40512861304,4.90E+17,4045706208,6/6/2017 14:26,1/26/2018 11:40
1337549807,3.57E+15,37072501122,4/18/2015 17:05,5/11/2018 2:47
91674780304,3.59E+15,77006509007,11/17/2001 15:12,8/31/2018 23:01
80120215208,5.00E+15,85037301991,9/13/2007 14:28,9/3/2015 7:15
1877417501,3.59E+15,22026008950,5/5/2015 2:12,5/28/2019 3:53
66606571000,3.38E+14,53087402856,1/27/2010 16:09,2/20/2020 10:48
70355948608,3.54E+15,98089301886,3/1/2019 0:20,12/9/2015 7:52
19846754000,3.54E+15,27095206928,9/15/2002 21:24,11/12/2020 3:26
63907957805,3.55E+15,67006105369,7/20/2015 20:38,7/9/2018 19:16
80587103402,3.55E+15,33062104770,8/3/2002 3:00,12/6/2015 2:54
87925646606,3.03E+13,1019806696,12/19/2013 16:06,4/6/2015 0:13
17037488302,3.02E+13,87090900397,11/9/2003 12:49,1/5/2017 11:12
16240241104,6.76E+16,59099508659,7/15/2018 19:32,11/5/2018 18:07
78059279502,3.56E+15,61011502836,9/21/2017 11:13,4/7/2018 10:52
5637695604,5.37E+15,22016400992,10/27/2012 16:20,2/25/2018 12:12
89065095601,2.01E+14,42098006842,1/8/2005 9:16,2/26/2015 13:12
36537892300,3.54E+15,58094104348,5/15/2016 15:57,9/19/2016 1:49
92768021500,3.53E+15,74085605933,1/11/2004 3:02,3/9/2020 9:08
61451535004,3.03E+13,14062001509,7/15/2009 18:01,6/27/2017 19:08
7873160705,5.00E+15,64014904489,1/18/2002 11:37,8/1/2017 17:53
79160824809,3.56E+15,96098300192,4/4/2005 14:48,2/23/2019 7:53
40754919305,3.04E+13,22067002244,7/7/2018 17:07,4/22/2018 15:51
21823656103,4.94E+17,7092003937,10/28/2012 12:33,5/27/2017 15:50
40903486608,5.52E+15,14072908746,3/27/2010 23:11,11/5/2015 4:49
56014452104,6.39E+15,86091708437,9/22/2001 5:03,5/2/2015 9:17
23721024708,3.58E+15,91029902472,8/23/2014 14:30,4/30/2016 16:10
38307319409,5.05E+15,68048107164,3/15/2007 0:09,5/3/2016 0:09
6878195102,3.54E+15,50004307577,3/22/2009 1:25,8/1/2016 22:36
80092685304,3.56E+15,8074804756,12/30/2014 12:52,6/14/2019 16:16
42292715605,5.60E+15,77026206049,8/22/2009 19:58,6/3/2015 22:12
12234204805,5.33E+15,16073102965,9/25/2010 6:01,7/7/2016 3:38
9326709101,3.54E+15,97035303588,11/23/2009 8:47,6/5/2017 9:27
